seed,model,best_cv_acc,test_acc,test_roc_auc,best_params,test_precision,test_recall,test_f1
0,logreg_elastic,0.5604955586722766,0.5192307692307693,0.5207407407407407,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 0.95}",0.5,0.52,0.5098039215686274
1,logreg_elastic,0.5928471248246845,0.46153846153846156,0.4874074074074074,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 0.5}",0.38461538461538464,0.2,0.2631578947368421
2,logreg_elastic,0.5499298737727909,0.5961538461538461,0.6251851851851853,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 0.95}",0.6,0.48,0.5333333333333333
3,logreg_elastic,0.5433613838242168,0.5384615384615384,0.5392592592592592,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 1.0}",0.5238095238095238,0.44,0.4782608695652174
5,logreg_elastic,0.5561477325853202,0.6153846153846154,0.6585185185185186,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 1.0}",0.5925925925925926,0.64,0.6153846153846154
