mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06371502876281739,0.006337856289196184,0.019587135314941405,0.0013349250085863942,0.01,,0.5,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__l1_ratio': 0.5}",0.5268817204301075,0.5161290322580645,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5216456287985041,0.0034022263485105632,10
0.06708106994628907,0.006499510805770869,0.024761009216308593,0.005542552306234486,0.01,,0.8,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__l1_ratio': 0.8}",0.5268817204301075,0.5161290322580645,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5216456287985041,0.0034022263485105632,10
0.06981120109558106,0.002720289382486955,0.031188488006591797,0.003920325124833966,0.01,,0.9,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__l1_ratio': 0.9}",0.5268817204301075,0.5161290322580645,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5216456287985041,0.0034022263485105632,10
0.08522558212280273,0.008434369361817193,0.021966075897216795,0.0028452124784780087,0.01,,0.95,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__l1_ratio': 0.95}",0.5268817204301075,0.5161290322580645,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5216456287985041,0.0034022263485105632,10
0.08045706748962403,0.0035846365686419157,0.02314472198486328,0.0030827425767020245,0.01,,1.0,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__l1_ratio': 1.0}",0.5268817204301075,0.5161290322580645,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5216456287985041,0.0034022263485105632,10
0.07386374473571777,0.008089681776505894,0.02354464530944824,0.0026285088466122533,0.01,balanced,0.5,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.5}",0.5268817204301075,0.5161290322580645,0.4782608695652174,0.5217391304347826,0.4782608695652174,0.5042543244506779,0.02149439726248419,41
0.07357535362243653,0.006771614016637883,0.023004627227783202,0.004732927863177714,0.01,balanced,0.8,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.8}",0.5268817204301075,0.5161290322580645,0.4782608695652174,0.5217391304347826,0.4782608695652174,0.5042543244506779,0.02149439726248419,41
0.0721127986907959,0.00504979253978488,0.022139739990234376,0.002931701434691525,0.01,balanced,0.9,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.9}",0.5268817204301075,0.5161290322580645,0.4782608695652174,0.5217391304347826,0.4782608695652174,0.5042543244506779,0.02149439726248419,41
0.07337164878845215,0.004483101993175193,0.023260974884033205,0.005913019290081333,0.01,balanced,0.95,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.95}",0.5268817204301075,0.5161290322580645,0.4782608695652174,0.5217391304347826,0.4782608695652174,0.5042543244506779,0.02149439726248419,41
0.07043299674987794,0.005984404256483078,0.024338197708129884,0.003064691177393607,0.01,balanced,1.0,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 1.0}",0.5268817204301075,0.5161290322580645,0.4782608695652174,0.5217391304347826,0.4782608695652174,0.5042543244506779,0.02149439726248419,41
3.331141471862793,1.1658158038367379,0.025178194046020508,0.0034281124548491706,0.1,,0.5,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 0.5}",0.5161290322580645,0.5268817204301075,0.5543478260869565,0.5108695652173914,0.5869565217391305,0.53903693314633,0.02827236158820128,7
3.5351263523101806,1.0965233708242554,0.033378076553344724,0.01548180589722107,0.1,,0.8,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 0.8}",0.4946236559139785,0.5053763440860215,0.5434782608695652,0.5108695652173914,0.6086956521739131,0.532608695652174,0.041387018275182486,9
3.555917739868164,1.2027047439080911,0.026366806030273436,0.0019309654787631814,0.1,,0.9,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 0.9}",0.5053763440860215,0.5053763440860215,0.5760869565217391,0.5217391304347826,0.6304347826086957,0.5478027115474522,0.04880033043740025,2
3.642671251296997,1.651707452016469,0.027039527893066406,0.005642246053068543,0.1,,0.95,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 0.95}",0.5161290322580645,0.5161290322580645,0.5869565217391305,0.5108695652173914,0.6195652173913043,0.5499298737727909,0.044790077515320284,1
3.170242738723755,1.4136941765892792,0.029408693313598633,0.007747829514476335,0.1,,1.0,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 1.0}",0.5053763440860215,0.5161290322580645,0.5760869565217391,0.5108695652173914,0.6086956521739131,0.543431510051426,0.0414238762861369,5
3.5019583225250246,1.036286271292671,0.025417518615722657,0.00280254230027117,0.1,balanced,0.5,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.5}",0.4946236559139785,0.5053763440860215,0.5108695652173914,0.5217391304347826,0.5652173913043478,0.5195652173913043,0.02444531391591296,16
3.658984327316284,1.0785665684528936,0.029596853256225585,0.011287087694064252,0.1,balanced,0.8,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.8}",0.5161290322580645,0.4946236559139785,0.5543478260869565,0.532608695652174,0.5760869565217391,0.5347592332865825,0.028475489281881896,8
