mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__learning_rate,param_clf__max_depth,param_clf__reg_lambda,param_clf__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1286036491394043,0.014775662749675147,0.02207212448120117,0.003168528603001447,0.8,0.03,0,0.001,0.1,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.001, 'clf__subsample': 0.1}",0.5806451612903226,0.5806451612903226,0.5217391304347826,0.5869565217391305,0.532608695652174,0.5605189340813463,0.027538811392422095,32
0.16937737464904784,0.014974919206937252,0.028771638870239258,0.00532775890995839,0.8,0.03,0,0.001,0.2,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.001, 'clf__subsample': 0.2}",0.5161290322580645,0.4838709677419355,0.5217391304347826,0.5760869565217391,0.5217391304347826,0.523913043478261,0.02964971385379428,924
0.21945204734802246,0.012925885753881166,0.02289862632751465,0.005023124522056741,0.8,0.03,0,0.001,0.3,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.001, 'clf__subsample': 0.3}",0.5376344086021505,0.5053763440860215,0.532608695652174,0.5217391304347826,0.5652173913043478,0.5325151940158952,0.019739754455663214,571
0.3570974826812744,0.018053009974478916,0.031091022491455077,0.014567065729984383,0.8,0.03,0,0.001,0.6,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.001, 'clf__subsample': 0.6}",0.4946236559139785,0.5376344086021505,0.4673913043478261,0.5217391304347826,0.5217391304347826,0.5086255259467041,0.024826445228971785,1945
0.45455203056335447,0.0199444209921528,0.023179101943969726,0.0017719161805280525,0.8,0.03,0,0.001,1.0,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.001, 'clf__subsample': 1.0}",0.4731182795698925,0.46236559139784944,0.5,0.532608695652174,0.5217391304347826,0.4979663394109397,0.02703410272731535,2291
0.14878559112548828,0.04395627106006574,0.025155067443847656,0.00753518873325342,0.8,0.03,0,0.01,0.1,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.01, 'clf__subsample': 0.1}",0.5806451612903226,0.5376344086021505,0.5217391304347826,0.5869565217391305,0.532608695652174,0.551916783543712,0.026610457267461606,88
0.1616579532623291,0.01479400317682578,0.022903823852539064,0.007379743278341135,0.8,0.03,0,0.01,0.2,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.01, 'clf__subsample': 0.2}",0.5376344086021505,0.4838709677419355,0.5217391304347826,0.5760869565217391,0.5217391304347826,0.5282141187470781,0.02976815898206068,738
0.22089853286743164,0.0192500291374067,0.02636880874633789,0.004905683412584513,0.8,0.03,0,0.01,0.3,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.01, 'clf__subsample': 0.3}",0.5483870967741935,0.4946236559139785,0.532608695652174,0.5217391304347826,0.5217391304347826,0.5238195418419822,0.01756058061918139,961
0.3436631679534912,0.06189303553845715,0.02589550018310547,0.006061648287603273,0.8,0.03,0,0.01,0.6,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.01, 'clf__subsample': 0.6}",0.5268817204301075,0.5376344086021505,0.43478260869565216,0.5217391304347826,0.5217391304347826,0.508555399719495,0.03734029725371721,1961
0.4752544403076172,0.03693631482845355,0.02530074119567871,0.0017100803033639508,0.8,0.03,0,0.01,1.0,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.01, 'clf__subsample': 1.0}",0.45161290322580644,0.4838709677419355,0.5108695652173914,0.532608695652174,0.5217391304347826,0.5001402524544181,0.02917335337006608,2242
0.14615769386291505,0.028230254879709656,0.02587151527404785,0.005750963754792198,0.8,0.03,0,0.1,0.1,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.1, 'clf__subsample': 0.1}",0.5913978494623656,0.5376344086021505,0.532608695652174,0.5869565217391305,0.532608695652174,0.5562412342215988,0.02699119930857175,48
0.18110427856445313,0.02626792205239338,0.01813669204711914,0.002020803986181186,0.8,0.03,0,0.1,0.2,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.1, 'clf__subsample': 0.2}",0.5483870967741935,0.5161290322580645,0.5217391304347826,0.5978260869565217,0.5217391304347826,0.5411640953716691,0.03047676475718342,234
0.228169584274292,0.05718841982092479,0.023686552047729494,0.0035616066519001286,0.8,0.03,0,0.1,0.3,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.1, 'clf__subsample': 0.3}",0.5161290322580645,0.45161290322580644,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5065918653576438,0.0275752162186693,1982
