mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08235301971435546,0.0072501776334309275,0.02553863525390625,0.003924789033772068,0.0001,,"{'clf__C': 0.0001, 'clf__class_weight': None}",0.5376344086021505,0.5376344086021505,0.4891304347826087,0.532608695652174,0.5,0.5194015895278168,0.02064976281117549,11
0.0819967269897461,0.004545365221713177,0.02508101463317871,0.0019256715244688723,0.0001,balanced,"{'clf__C': 0.0001, 'clf__class_weight': 'balanced'}",0.5591397849462365,0.5806451612903226,0.5108695652173914,0.6086956521739131,0.44565217391304346,0.5410004675081814,0.057415229640727816,4
0.06322240829467773,0.012588915462244846,0.0255918025970459,0.005477101735590141,0.001,,"{'clf__C': 0.001, 'clf__class_weight': None}",0.6129032258064516,0.5806451612903226,0.4891304347826087,0.5978260869565217,0.4673913043478261,0.5495792426367462,0.05951754649555741,1
0.06883788108825684,0.005079360570118181,0.027678728103637695,0.005453984147756649,0.001,balanced,"{'clf__C': 0.001, 'clf__class_weight': 'balanced'}",0.5913978494623656,0.6236559139784946,0.4891304347826087,0.5760869565217391,0.44565217391304346,0.5451846657316504,0.06677894947201769,2
0.08147873878479003,0.008104480498996222,0.022075462341308593,0.0026868765735076836,0.01,,"{'clf__C': 0.01, 'clf__class_weight': None}",0.5913978494623656,0.5913978494623656,0.4891304347826087,0.5652173913043478,0.45652173913043476,0.5387330528284244,0.05561960375702867,7
0.06396064758300782,0.007520187363831419,0.02059617042541504,0.002816917829072688,0.01,balanced,"{'clf__C': 0.01, 'clf__class_weight': 'balanced'}",0.6129032258064516,0.6021505376344086,0.4782608695652174,0.5543478260869565,0.4782608695652174,0.5451846657316504,0.05809038893757817,2
0.07351341247558593,0.011540381202239679,0.018651437759399415,0.0018153194708556907,0.1,,"{'clf__C': 0.1, 'clf__class_weight': None}",0.5698924731182796,0.5698924731182796,0.45652173913043476,0.5869565217391305,0.4782608695652174,0.5323048153342683,0.05380761240111533,9
0.07674059867858887,0.008858026459719861,0.0241239070892334,0.004581771520486033,0.1,balanced,"{'clf__C': 0.1, 'clf__class_weight': 'balanced'}",0.5913978494623656,0.5913978494623656,0.45652173913043476,0.5652173913043478,0.4891304347826087,0.5387330528284245,0.05561960375702867,6
0.12886085510253906,0.011774568527773109,0.024337005615234376,0.005957606710851666,1.0,,"{'clf__C': 1, 'clf__class_weight': None}",0.6021505376344086,0.5591397849462365,0.4673913043478261,0.5760869565217391,0.4891304347826087,0.5387798036465639,0.05173698885912836,5
0.1370396137237549,0.011789943147822076,0.021180391311645508,0.0014244949816614972,1.0,balanced,"{'clf__C': 1, 'clf__class_weight': 'balanced'}",0.6236559139784946,0.5591397849462365,0.44565217391304346,0.5869565217391305,0.4673913043478261,0.5365591397849462,0.06882426261392101,8
0.2319793224334717,0.009168775947118617,0.019674110412597656,0.00127851219464076,10.0,,"{'clf__C': 10, 'clf__class_weight': None}",0.5806451612903226,0.5376344086021505,0.41304347826086957,0.5760869565217391,0.4891304347826087,0.5193080878915382,0.06248966079914817,12
0.21936230659484862,0.014244561810553589,0.01829075813293457,0.0003161961811441381,10.0,balanced,"{'clf__C': 10, 'clf__class_weight': 'balanced'}",0.5806451612903226,0.5483870967741935,0.41304347826086957,0.5760869565217391,0.4891304347826087,0.5214586255259468,0.06326357435394758,10
