mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,param_clf__p,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04402174949645996,0.0028524706115712474,0.05467238426208496,0.0024940067341928476,1,1,uniform,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'uniform'}",0.4946236559139785,0.46236559139784944,0.5108695652173914,0.5543478260869565,0.5108695652173914,0.5066152407667135,0.029720120561549906,13
0.04826545715332031,0.007116207651315715,0.0547734260559082,0.003342660169138316,1,1,distance,"{'clf__n_neighbors': 1, 'clf__p': 1, 'clf__weights': 'distance'}",0.4946236559139785,0.46236559139784944,0.5108695652173914,0.5543478260869565,0.5108695652173914,0.5066152407667135,0.029720120561549906,13
0.042880582809448245,0.005152559802212615,0.026273584365844725,0.003232049806593467,1,2,uniform,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'uniform'}",0.4838709677419355,0.4838709677419355,0.5,0.5434782608695652,0.5,0.5022440392706873,0.021842490563868402,17
0.042183208465576175,0.004852285595519772,0.026091766357421876,0.003835210806680483,1,2,distance,"{'clf__n_neighbors': 1, 'clf__p': 2, 'clf__weights': 'distance'}",0.4838709677419355,0.4838709677419355,0.5,0.5434782608695652,0.5,0.5022440392706873,0.021842490563868402,17
0.04667134284973144,0.003668971959306575,0.05828824043273926,0.005916510460459464,2,1,uniform,"{'clf__n_neighbors': 2, 'clf__p': 1, 'clf__weights': 'uniform'}",0.5591397849462365,0.5053763440860215,0.532608695652174,0.6086956521739131,0.5760869565217391,0.5563814866760168,0.035494663899291984,2
0.043779754638671876,0.0036311682304587508,0.05444974899291992,0.00854769735544607,2,1,distance,"{'clf__n_neighbors': 2, 'clf__p': 1, 'clf__weights': 'distance'}",0.5483870967741935,0.4838709677419355,0.5434782608695652,0.5652173913043478,0.532608695652174,0.5347124824684432,0.02750879477232496,6
0.05034856796264649,0.005773881749017123,0.03040623664855957,0.00455783365059511,2,2,uniform,"{'clf__n_neighbors': 2, 'clf__p': 2, 'clf__weights': 'uniform'}",0.5591397849462365,0.5161290322580645,0.5,0.6086956521739131,0.6195652173913043,0.5607059373539036,0.047837624745236985,1
0.05139927864074707,0.005766639073669766,0.026848554611206055,0.004668279719218985,2,2,distance,"{'clf__n_neighbors': 2, 'clf__p': 2, 'clf__weights': 'distance'}",0.5376344086021505,0.4946236559139785,0.5217391304347826,0.5543478260869565,0.5217391304347826,0.5260168302945302,0.019797688138730066,7
0.04544816017150879,0.006233782452452061,0.0576838493347168,0.004113511765695761,3,1,uniform,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.5161290322580645,0.4838709677419355,0.4673913043478261,0.6304347826086957,0.5217391304347826,0.523913043478261,0.056939041894945315,8
0.04243178367614746,0.008184143341371559,0.05190544128417969,0.002055243898973977,3,1,distance,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}",0.5376344086021505,0.5376344086021505,0.4891304347826087,0.5760869565217391,0.5434782608695652,0.5367928938756428,0.027791523139057268,5
0.060305547714233396,0.019709876178526882,0.041710948944091795,0.022281126239289822,3,2,uniform,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'}",0.5483870967741935,0.4946236559139785,0.4782608695652174,0.6304347826086957,0.5434782608695652,0.53903693314633,0.05315446723858948,4
0.04290881156921387,0.004452253673862925,0.030709028244018555,0.004990886675569548,3,2,distance,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance'}",0.5483870967741935,0.5376344086021505,0.4891304347826087,0.5978260869565217,0.5434782608695652,0.5432912575970079,0.03454111992654072,3
0.04573373794555664,0.004651439667476982,0.05937623977661133,0.006573880523273533,5,1,uniform,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}",0.5268817204301075,0.4946236559139785,0.4891304347826087,0.5434782608695652,0.4673913043478261,0.5043010752688172,0.027316183390315687,16
0.04986133575439453,0.007068960366086292,0.0590630054473877,0.0048631818896392445,5,1,distance,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'}",0.5161290322580645,0.4838709677419355,0.5,0.5652173913043478,0.4673913043478261,0.5065217391304347,0.03353881666790488,15
0.04076995849609375,0.003976308559085948,0.028753662109375,0.003962482919904047,5,2,uniform,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform'}",0.5376344086021505,0.4946236559139785,0.4673913043478261,0.5978260869565217,0.44565217391304346,0.5086255259467041,0.05414833666700709,12
0.043788909912109375,0.004878350893333,0.02619338035583496,0.005730123760686146,5,2,distance,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'distance'}",0.5376344086021505,0.5161290322580645,0.4782608695652174,0.5869565217391305,0.4891304347826087,0.5216222533894344,0.03870674126628144,9
0.04285554885864258,0.009461021080874186,0.055009984970092775,0.0032044509873237178,9,1,uniform,"{'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'}",0.46236559139784944,0.5161290322580645,0.4782608695652174,0.5217391304347826,0.4891304347826087,0.4935250116877046,0.02249530642747326,20
0.04073019027709961,0.004235538189167829,0.0531977653503418,0.0043520569880841084,9,1,distance,"{'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'distance'}",0.5053763440860215,0.4946236559139785,0.45652173913043476,0.5434782608695652,0.5108695652173914,0.5021739130434784,0.028046555747038272,19
