mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators,param_clf__reg_lambda,param_clf__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4096651554107666,0.02640916376044267,0.02588210105895996,0.0034594852609058165,0.6,0.03,3,600,1.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.03, 'clf__max_depth': 3, 'clf__n_estimators': 600, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.6}",0.5,0.5526315789473685,0.47368421052631576,0.5263157894736842,0.5675675675675675,0.5240398293029872,0.03414947693934305,56
0.4389476299285889,0.06267223412682851,0.017939043045043946,0.0024710430604167784,0.6,0.03,3,600,1.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.03, 'clf__max_depth': 3, 'clf__n_estimators': 600, 'clf__reg_lambda': 1.0, 'clf__subsample': 1.0}",0.4473684210526316,0.6052631578947368,0.4473684210526316,0.5263157894736842,0.5675675675675675,0.5187766714082503,0.0634280358070664,68
0.4342033386230469,0.025201741208182755,0.018343019485473632,0.0017297227683306443,0.6,0.03,3,600,10.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.03, 'clf__max_depth': 3, 'clf__n_estimators': 600, 'clf__reg_lambda': 10.0, 'clf__subsample': 0.6}",0.5,0.6052631578947368,0.47368421052631576,0.5263157894736842,0.5945945945945946,0.5399715504978663,0.05181676763696704,14
0.4592117786407471,0.01772071018159125,0.020221424102783204,0.006161998319051361,0.6,0.03,3,600,10.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.03, 'clf__max_depth': 3, 'clf__n_estimators': 600, 'clf__reg_lambda': 10.0, 'clf__subsample': 1.0}",0.47368421052631576,0.5789473684210527,0.4473684210526316,0.5263157894736842,0.5675675675675675,0.5187766714082503,0.05136218623750319,68
0.2677567958831787,0.025314564503609492,0.024674320220947267,0.007547877582671862,0.6,0.03,5,200,1.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.03, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.6}",0.5,0.5789473684210527,0.42105263157894735,0.5789473684210527,0.5945945945945946,0.5347083926031295,0.06576144110780893,22
0.25134572982788084,0.01504587980330494,0.019949626922607423,0.0043954964479521715,0.6,0.03,5,200,1.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.03, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'clf__reg_lambda': 1.0, 'clf__subsample': 1.0}",0.47368421052631576,0.5526315789473685,0.47368421052631576,0.6052631578947368,0.5675675675675675,0.5345661450924608,0.052586578740101426,31
0.2395557403564453,0.008094844064012228,0.018082237243652342,0.0025485778234075876,0.6,0.03,5,200,10.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.03, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'clf__reg_lambda': 10.0, 'clf__subsample': 0.6}",0.5,0.6052631578947368,0.47368421052631576,0.5263157894736842,0.5945945945945946,0.5399715504978663,0.05181676763696704,14
0.2952538013458252,0.016501994296573952,0.019086074829101563,0.0026475735677489436,0.6,0.03,5,200,10.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.03, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'clf__reg_lambda': 10.0, 'clf__subsample': 1.0}",0.5,0.5526315789473685,0.4473684210526316,0.47368421052631576,0.4864864864864865,0.49203413940256047,0.034922850263975125,94
0.568779993057251,0.03691473725730321,0.020521163940429688,0.0031189009080629646,0.6,0.03,5,600,1.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.03, 'clf__max_depth': 5, 'clf__n_estimators': 600, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.6}",0.5,0.5789473684210527,0.4473684210526316,0.5526315789473685,0.5675675675675675,0.5293029871977241,0.049081369335102064,39
0.6663997173309326,0.08221811250535309,0.02440953254699707,0.010143974772845513,0.6,0.03,5,600,1.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.03, 'clf__max_depth': 5, 'clf__n_estimators': 600, 'clf__reg_lambda': 1.0, 'clf__subsample': 1.0}",0.47368421052631576,0.5526315789473685,0.4473684210526316,0.5789473684210527,0.5945945945945946,0.5294452347083927,0.05844382268909677,33
0.5796524047851562,0.01920431809610793,0.028470802307128906,0.004770772647494185,0.6,0.03,5,600,10.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.03, 'clf__max_depth': 5, 'clf__n_estimators': 600, 'clf__reg_lambda': 10.0, 'clf__subsample': 0.6}",0.5,0.5789473684210527,0.47368421052631576,0.5263157894736842,0.5945945945945946,0.5347083926031295,0.045918413023332626,22
0.7424606323242188,0.059106549581721665,0.023918533325195314,0.0067635980887864695,0.6,0.03,5,600,10.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.03, 'clf__max_depth': 5, 'clf__n_estimators': 600, 'clf__reg_lambda': 10.0, 'clf__subsample': 1.0}",0.5,0.5789473684210527,0.47368421052631576,0.5263157894736842,0.4864864864864865,0.5130867709815078,0.03726667601416497,85
0.14169387817382811,0.012322623625525289,0.01796731948852539,0.0023943029161728564,0.6,0.1,2,200,1.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.6}",0.47368421052631576,0.5789473684210527,0.4473684210526316,0.5526315789473685,0.6216216216216216,0.534850640113798,0.0650912547511329,18
0.13614244461059571,0.0023375235553168812,0.020906734466552734,0.006414801761022288,0.6,0.1,2,200,1.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'clf__reg_lambda': 1.0, 'clf__subsample': 1.0}",0.5,0.631578947368421,0.4473684210526316,0.5263157894736842,0.5945945945945946,0.5399715504978663,0.06593198973062529,14
0.13437304496765137,0.005064185328532035,0.018758201599121095,0.0029603893267853747,0.6,0.1,2,200,10.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'clf__reg_lambda': 10.0, 'clf__subsample': 0.6}",0.5,0.5789473684210527,0.5263157894736842,0.47368421052631576,0.6216216216216216,0.5401137980085349,0.053598439201867035,7
0.13086991310119628,0.00800302954906795,0.017235755920410156,0.0027215759031132642,0.6,0.1,2,200,10.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 200, 'clf__reg_lambda': 10.0, 'clf__subsample': 1.0}",0.5,0.5526315789473685,0.47368421052631576,0.4473684210526316,0.5945945945945946,0.5136557610241821,0.0533824414229572,79
0.3151229381561279,0.04603992860596536,0.01840372085571289,0.0033767943366843317,0.6,0.1,2,600,1.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 600, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.6}",0.5263157894736842,0.5263157894736842,0.5,0.5263157894736842,0.5945945945945946,0.5347083926031295,0.0316301661959613,22
0.2780289173126221,0.013659514408524406,0.01773834228515625,0.0031874421111143976,0.6,0.1,2,600,1.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 600, 'clf__reg_lambda': 1.0, 'clf__subsample': 1.0}",0.5526315789473685,0.5263157894736842,0.4473684210526316,0.5526315789473685,0.5405405405405406,0.5238975817923187,0.03947362013501907,61
0.29293222427368165,0.008610610814334986,0.02125396728515625,0.008470587296466834,0.6,0.1,2,600,10.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 600, 'clf__reg_lambda': 10.0, 'clf__subsample': 0.6}",0.4473684210526316,0.6052631578947368,0.4473684210526316,0.5789473684210527,0.5675675675675675,0.5293029871977241,0.06800770028315291,39
0.2916892051696777,0.011803146984409827,0.02123880386352539,0.003467082216558896,0.6,0.1,2,600,10.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 600, 'clf__reg_lambda': 10.0, 'clf__subsample': 1.0}",0.5,0.6052631578947368,0.47368421052631576,0.5,0.5945945945945946,0.5347083926031294,0.05421739190821784,30
0.16057310104370118,0.008043421719501476,0.02058701515197754,0.003088983183456076,0.6,0.1,3,200,1.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.6}",0.5,0.5263157894736842,0.47368421052631576,0.5789473684210527,0.6216216216216216,0.5401137980085348,0.053598439201867035,11
0.16562113761901856,0.016185636721778775,0.018012523651123047,0.0030316592191876766,0.6,0.1,3,200,1.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__reg_lambda': 1.0, 'clf__subsample': 1.0}",0.5,0.6052631578947368,0.47368421052631576,0.5,0.5675675675675675,0.529302987197724,0.049081369335102064,48
0.1701904296875,0.022825936436710447,0.01903643608093262,0.0033850567312820106,0.6,0.1,3,200,10.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__reg_lambda': 10.0, 'clf__subsample': 0.6}",0.5,0.6052631578947368,0.42105263157894735,0.5526315789473685,0.5945945945945946,0.5347083926031295,0.06783491318506371,22
0.17328886985778807,0.006973959918452405,0.02054276466369629,0.003065319466518607,0.6,0.1,3,200,10.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__reg_lambda': 10.0, 'clf__subsample': 1.0}",0.47368421052631576,0.5789473684210527,0.4473684210526316,0.5526315789473685,0.6216216216216216,0.534850640113798,0.0650912547511329,18
0.41783962249755857,0.04288749198114399,0.022381305694580078,0.006477652044586087,0.6,0.1,3,600,1.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 600, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.6}",0.5,0.5263157894736842,0.47368421052631576,0.5789473684210527,0.5675675675675675,0.529302987197724,0.03972349286078422,48
0.4692392826080322,0.044605971338424075,0.025015926361083983,0.007179013367982641,0.6,0.1,3,600,1.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 600, 'clf__reg_lambda': 1.0, 'clf__subsample': 1.0}",0.5,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.5675675675675675,0.5187766714082503,0.031241387830890553,68
0.516769552230835,0.03157930867963308,0.0322145938873291,0.005567572780442994,0.6,0.1,3,600,10.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 600, 'clf__reg_lambda': 10.0, 'clf__subsample': 0.6}",0.47368421052631576,0.5526315789473685,0.4473684210526316,0.5263157894736842,0.5945945945945946,0.518918918918919,0.05307300183227864,63
0.5201077938079834,0.025631449175406953,0.026560544967651367,0.0045192881752961255,0.6,0.1,3,600,10.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 600, 'clf__reg_lambda': 10.0, 'clf__subsample': 1.0}",0.5263157894736842,0.5789473684210527,0.4473684210526316,0.5526315789473685,0.6216216216216216,0.5453769559032716,0.05824405921955375,2
0.2524717330932617,0.01123056602865114,0.02277836799621582,0.004351464399429481,0.6,0.1,5,200,1.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.6}",0.5263157894736842,0.5,0.47368421052631576,0.5526315789473685,0.5945945945945946,0.5294452347083926,0.041876372204606466,37
0.2634955883026123,0.01352283524733422,0.024866867065429687,0.006278229847700595,0.6,0.1,5,200,1.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'clf__reg_lambda': 1.0, 'clf__subsample': 1.0}",0.5,0.5526315789473685,0.5,0.5789473684210527,0.5945945945945946,0.5452347083926032,0.03929379898355211,5
0.25536227226257324,0.01114597867735652,0.023009204864501955,0.00554355452347637,0.6,0.1,5,200,10.0,0.6,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'clf__reg_lambda': 10.0, 'clf__subsample': 0.6}",0.5,0.5789473684210527,0.47368421052631576,0.5263157894736842,0.5675675675675675,0.5293029871977241,0.039723492860784214,39
0.2931041717529297,0.022915875591696923,0.0216341495513916,0.003892656741184888,0.6,0.1,5,200,10.0,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 5, 'clf__n_estimators': 200, 'clf__reg_lambda': 10.0, 'clf__subsample': 1.0}",0.5,0.5789473684210527,0.4473684210526316,0.5263157894736842,0.5135135135135135,0.5132290184921764,0.04243317394415354,84
