mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07891640663146973,0.006755812902138241,0.024947643280029297,0.003791101936505347,0.1,,scale,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale'}",0.5,0.5,0.5,0.5,0.5405405405405406,0.508108108108108,0.016216216216216228,13
0.07978959083557129,0.005452919919108203,0.021742868423461913,0.0028203417600260634,0.1,,0.01,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 0.01}",0.5,0.5,0.5,0.5,0.5135135135135135,0.5027027027027027,0.005405405405405394,15
0.06931943893432617,0.008360788964350456,0.024437093734741212,0.0064040197711662545,0.1,,0.1,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 0.1}",0.5,0.5,0.5,0.5,0.4864864864864865,0.49729729729729727,0.005405405405405394,17
0.07563924789428711,0.0060007274664005275,0.03181691169738769,0.004931243768333668,0.1,balanced,scale,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale'}",0.5,0.5,0.5,0.5,0.5405405405405406,0.508108108108108,0.016216216216216228,13
0.07801775932312012,0.01384474427619201,0.0195253849029541,0.004365499329440002,0.1,balanced,0.01,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 0.01}",0.5,0.5,0.5,0.5,0.5135135135135135,0.5027027027027027,0.005405405405405394,15
0.07297444343566895,0.00962528012185403,0.023128747940063477,0.004234708687602875,0.1,balanced,0.1,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 0.1}",0.5,0.5,0.5,0.5,0.4864864864864865,0.49729729729729727,0.005405405405405394,17
0.07039818763732911,0.010002341808231263,0.020203685760498045,0.0048036491906307795,1.0,,scale,"{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale'}",0.5526315789473685,0.5526315789473685,0.6842105263157895,0.631578947368421,0.5675675675675675,0.5977240398293031,0.05215772231474425,1
0.06708154678344727,0.00792324686767828,0.02657465934753418,0.007289479304252932,1.0,,0.01,"{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 0.01}",0.5263157894736842,0.5789473684210527,0.5,0.631578947368421,0.5135135135135135,0.5500711237553342,0.048755010047551645,5
0.06954722404479981,0.009956183129830244,0.019078922271728516,0.0018937894074768124,1.0,,0.1,"{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 0.1}",0.5,0.5526315789473685,0.5263157894736842,0.6052631578947368,0.4864864864864865,0.5341394025604551,0.042185441326705306,9
0.07294011116027832,0.004634164085782654,0.022155570983886718,0.004516200679309104,1.0,balanced,scale,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale'}",0.5526315789473685,0.5263157894736842,0.6578947368421053,0.6578947368421053,0.5675675675675675,0.5924608819345661,0.055035265910869574,2
0.07564730644226074,0.017600731217002973,0.021145200729370116,0.003972231695500017,1.0,balanced,0.01,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 0.01}",0.5263157894736842,0.6052631578947368,0.5,0.631578947368421,0.5135135135135135,0.5553342816500711,0.052837626735140565,3
0.06711816787719727,0.007610998045893868,0.023647451400756837,0.007761759361820881,1.0,balanced,0.1,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 0.1}",0.5,0.5526315789473685,0.5263157894736842,0.6052631578947368,0.4864864864864865,0.5341394025604551,0.042185441326705306,9
0.06482343673706055,0.006803268360926219,0.021020889282226562,0.0032985394794071516,10.0,,scale,"{'clf__C': 10, 'clf__class_weight': None, 'clf__gamma': 'scale'}",0.5526315789473685,0.5,0.5263157894736842,0.5789473684210527,0.5405405405405406,0.5396870554765292,0.026319249320827753,7
0.06683311462402344,0.004272126038338625,0.0196685791015625,0.003105998274873246,10.0,,0.01,"{'clf__C': 10, 'clf__class_weight': None, 'clf__gamma': 0.01}",0.6052631578947368,0.5526315789473685,0.42105263157894735,0.6052631578947368,0.5675675675675675,0.5503556187766714,0.06789752481223096,4
0.06769180297851562,0.006306249518893347,0.023610925674438475,0.0062863911244802236,10.0,,0.1,"{'clf__C': 10, 'clf__class_weight': None, 'clf__gamma': 0.1}",0.5,0.5526315789473685,0.5263157894736842,0.6052631578947368,0.4864864864864865,0.5341394025604551,0.042185441326705306,9
0.0683298110961914,0.005766559634426069,0.02035379409790039,0.0067229845139378,10.0,balanced,scale,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale'}",0.5526315789473685,0.5,0.5263157894736842,0.5789473684210527,0.5405405405405406,0.5396870554765292,0.026319249320827753,7
0.07053079605102539,0.007360686941853514,0.01825370788574219,0.0026459762250393005,10.0,balanced,0.01,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__gamma': 0.01}",0.5526315789473685,0.5526315789473685,0.4473684210526316,0.5789473684210527,0.5675675675675675,0.5398293029871978,0.04727884430240753,6
0.058642005920410155,0.002768675448561124,0.016890335083007812,0.00037041035787251683,10.0,balanced,0.1,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__gamma': 0.1}",0.5,0.5526315789473685,0.5263157894736842,0.6052631578947368,0.4864864864864865,0.5341394025604551,0.042185441326705306,9
