mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,param_clf__p,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.028735589981079102,0.002318901368143655,0.07516350746154785,0.007299793469882283,3,1,uniform,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.5526315789473685,0.6052631578947368,0.5263157894736842,0.5526315789473685,0.5945945945945946,0.5662873399715506,0.02929539047214712,3
0.030982160568237306,0.00602430845994063,0.06264166831970215,0.005099573740945015,3,1,distance,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}",0.5263157894736842,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5675675675675675,0.566145092460882,0.020396527259100926,5
0.03559727668762207,0.006055571827222129,0.02991518974304199,0.014719406900411736,3,2,uniform,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'}",0.5526315789473685,0.5526315789473685,0.5,0.6052631578947368,0.6216216216216216,0.566429587482219,0.04323856379562662,2
0.03133726119995117,0.002648368768610667,0.019475364685058595,0.0029551559324410693,3,2,distance,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance'}",0.5263157894736842,0.5526315789473685,0.5526315789473685,0.6052631578947368,0.5945945945945946,0.5662873399715506,0.029295390472147118,3
0.033330011367797854,0.005176647124816667,0.022546958923339844,0.002401636912900759,5,1,uniform,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}",0.5263157894736842,0.6052631578947368,0.5263157894736842,0.631578947368421,0.4594594594594595,0.5497866287339972,0.061690172273443034,10
0.03677091598510742,0.00299471201888408,0.025618267059326173,0.004156652582789958,5,1,distance,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'}",0.5,0.5526315789473685,0.5263157894736842,0.631578947368421,0.4594594594594595,0.5339971550497866,0.05768903871381652,15
0.03089442253112793,0.00354009767303474,0.021741628646850586,0.00531060916525418,5,2,uniform,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform'}",0.47368421052631576,0.5263157894736842,0.5789473684210527,0.6052631578947368,0.5135135135135135,0.5395448079658606,0.04703555422023688,13
0.030359745025634766,0.003962224999505735,0.01866741180419922,0.0042358821636952395,5,2,distance,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'distance'}",0.4473684210526316,0.5263157894736842,0.5789473684210527,0.6052631578947368,0.5135135135135135,0.5342816500711238,0.05492190939540081,14
0.03235273361206055,0.004780078199153521,0.026838207244873048,0.006264333883816527,9,1,uniform,"{'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'}",0.47368421052631576,0.5789473684210527,0.5789473684210527,0.6052631578947368,0.4864864864864865,0.5446657183499288,0.053750739931127375,11
0.030547523498535158,0.002947875368121906,0.02773151397705078,0.00795802401378336,9,1,distance,"{'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'distance'}",0.5,0.6052631578947368,0.5789473684210527,0.6578947368421053,0.43243243243243246,0.5549075391180655,0.07966800391626211,9
0.028652000427246093,0.0035189605824691027,0.018179941177368163,0.0038521011841093186,9,2,uniform,"{'clf__n_neighbors': 9, 'clf__p': 2, 'clf__weights': 'uniform'}",0.5263157894736842,0.5526315789473685,0.6052631578947368,0.5526315789473685,0.5405405405405406,0.5554765291607398,0.026714521816004585,8
0.034904861450195314,0.006778349089913598,0.020821857452392577,0.004718518686913505,9,2,distance,"{'clf__n_neighbors': 9, 'clf__p': 2, 'clf__weights': 'distance'}",0.47368421052631576,0.5789473684210527,0.631578947368421,0.631578947368421,0.5135135135135135,0.5658605974395449,0.0633178807437633,6
0.028970670700073243,0.0037946834711374867,0.0220855712890625,0.0044753408619760005,15,1,uniform,"{'clf__n_neighbors': 15, 'clf__p': 1, 'clf__weights': 'uniform'}",0.39473684210526316,0.47368421052631576,0.5526315789473685,0.7368421052631579,0.4864864864864865,0.5288762446657184,0.11545609263359051,16
0.035289335250854495,0.010481019431785397,0.02299838066101074,0.004301007838639391,15,1,distance,"{'clf__n_neighbors': 15, 'clf__p': 1, 'clf__weights': 'distance'}",0.5,0.5526315789473685,0.6052631578947368,0.7368421052631579,0.4594594594594595,0.5708392603129446,0.09643353126049438,1
0.035785579681396486,0.0046851488176457195,0.017761802673339842,0.0015706040109452737,15,2,uniform,"{'clf__n_neighbors': 15, 'clf__p': 2, 'clf__weights': 'uniform'}",0.47368421052631576,0.47368421052631576,0.5526315789473685,0.7368421052631579,0.4864864864864865,0.5446657183499288,0.10045575199870678,11
0.03231992721557617,0.0029714789038788798,0.01575932502746582,0.00024443026215270375,15,2,distance,"{'clf__n_neighbors': 15, 'clf__p': 2, 'clf__weights': 'distance'}",0.5263157894736842,0.5,0.5789473684210527,0.7105263157894737,0.4864864864864865,0.5604551920341394,0.0814309538494772,7
