affinity,type,d1,d2,d3,d4,ds1,ds2,a1,a2,a3,a4,as1,as2,outcome,rank
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,tshiroko,hoshino,haruka,iori,nagisa,sshiroko,1,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,tshiroko,hoshino,haruka,iori,nagisa,sshiroko,0,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,tshiroko,nymutsuki,shun,hoshino,nagisa,sshiroko,0,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,shun,tshiroko,iori,marina,nagisa,sshiroko,1,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,shun,tshiroko,marina,iori,nagisa,sshiroko,0,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,tshiroko,hoshino,iori,marina,hibiki,sshiroko,1,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,marina,tshiroko,shun,iori,nagisa,sshiroko,0,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,tshiroko,hoshino,reisa,haruka,nagisa,sshiroko,0,
indoor,atk,tshiroko,shun,nyharuna,hoshino,hibiki,sshiroko,shun,hoshino,tshiroko,marina,sayane,sshiroko,0,146.0
indoor,atk,tshiroko,shun,nyharuna,hoshino,hibiki,sshiroko,nymutsuki,hoshino,tshiroko,yuuka,sayane,sshiroko,0,102.0
indoor,atk,marina,shun,tshiroko,nyharuna,sayane,sshiroko,tshiroko,haruka,hoshino,marina,sayane,sshiroko,1,72.0
indoor,atk,hoshino,marina,tshiroko,iori,sayane,sshiroko,marina,haruka,hoshino,tshiroko,sayane,sshiroko,0,72.0
indoor,atk,hoshino,marina,tshiroko,iori,sayane,sshiroko,tshiroko,marina,hoshino,haruka,sayane,sshiroko,1,50.0
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,nyharuna,hoshino,shun,tshiroko,sayane,sshiroko,0,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,tshiroko,nyharuna,shun,hoshino,hibiki,sshiroko,0,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,iori,hoshino,shun,tshiroko,nagisa,sshiroko,1,
indoor,def,marina,tshiroko,shun,hoshino,sayane,sshiroko,hoshino,shun,iori,tshiroko,nagisa,sshiroko,1,
