mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04282708168029785,0.0004817480735583571,0.016355180740356447,0.000527950294431289,0.01,,0.5,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__l1_ratio': 0.5}",0.5116279069767442,0.5116279069767442,0.5,0.5,0.5,0.5046511627906977,0.005696487773914378,11
0.04373092651367187,0.0011258066674854953,0.018179845809936524,0.0023618395305594004,0.01,,0.8,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__l1_ratio': 0.8}",0.5116279069767442,0.5116279069767442,0.5,0.5,0.5,0.5046511627906977,0.005696487773914378,11
0.046587038040161136,0.004052746232514349,0.016768932342529297,0.0008127758390066925,0.01,,0.9,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__l1_ratio': 0.9}",0.5116279069767442,0.5116279069767442,0.5,0.5,0.5,0.5046511627906977,0.005696487773914378,11
0.04480190277099609,0.0009410698184411493,0.017319774627685545,0.0016764659605987336,0.01,,0.95,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__l1_ratio': 0.95}",0.5116279069767442,0.5116279069767442,0.5,0.5,0.5,0.5046511627906977,0.005696487773914378,11
0.04555177688598633,0.0017894302794509915,0.02151780128479004,0.0009511936277425203,0.01,,1.0,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__l1_ratio': 1.0}",0.5116279069767442,0.5116279069767442,0.5,0.5,0.5,0.5046511627906977,0.005696487773914378,11
0.04474520683288574,0.0016551065911959606,0.018483829498291016,0.001544447314447908,0.01,balanced,0.5,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.5}",0.4883720930232558,0.5116279069767442,0.5,0.5,0.5,0.5,0.007354134093414849,16
0.04762716293334961,0.005422287226122465,0.018949222564697266,0.0023361122059094887,0.01,balanced,0.8,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.8}",0.4883720930232558,0.5116279069767442,0.5,0.5,0.5,0.5,0.007354134093414849,16
0.04807701110839844,0.002444903141799282,0.02012953758239746,0.0029923941853329376,0.01,balanced,0.9,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.9}",0.4883720930232558,0.5116279069767442,0.5,0.5,0.5,0.5,0.007354134093414849,16
0.05075054168701172,0.005723829594200941,0.01937394142150879,0.002336051631832112,0.01,balanced,0.95,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.95}",0.4883720930232558,0.5116279069767442,0.5,0.5,0.5,0.5,0.007354134093414849,16
0.044594097137451175,0.0019035480208248465,0.02312440872192383,0.007378256311467597,0.01,balanced,1.0,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 1.0}",0.4883720930232558,0.5116279069767442,0.5,0.5,0.5,0.5,0.007354134093414849,16
0.8791031837463379,0.3020339268371872,0.021515035629272462,0.0038996303581838435,0.1,,0.5,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 0.5}",0.4883720930232558,0.5116279069767442,0.5,0.6666666666666666,0.5476190476190477,0.5428571428571429,0.06501091361587649,9
0.8771691799163819,0.3235661763299879,0.019555139541625976,0.0013407698226384113,0.1,,0.8,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 0.8}",0.4186046511627907,0.46511627906976744,0.5,0.6904761904761905,0.5476190476190477,0.5243632336655593,0.09319119471229377,10
0.8366462707519531,0.3105171195281026,0.021824741363525392,0.0018346137646469162,0.1,,0.9,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 0.9}",0.5116279069767442,0.4883720930232558,0.5,0.7142857142857143,0.5476190476190477,0.5523809523809524,0.0833517085880374,4
0.7394849777221679,0.24902453973094843,0.022087717056274415,0.0031600006122798293,0.1,,0.95,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 0.95}",0.5116279069767442,0.4883720930232558,0.5,0.7142857142857143,0.5476190476190477,0.5523809523809524,0.0833517085880374,4
0.6553040504455566,0.22744092169583424,0.02159423828125,0.0013559720970022313,0.1,,1.0,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 1.0}",0.5116279069767442,0.4883720930232558,0.5,0.7142857142857143,0.5714285714285714,0.5571428571428572,0.0836233149215457,3
0.8594553947448731,0.3426617534457255,0.021159648895263672,0.001895043166158436,0.1,balanced,0.5,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.5}",0.4883720930232558,0.5116279069767442,0.5,0.6904761904761905,0.5714285714285714,0.5523809523809524,0.0747459905737962,4
0.868870735168457,0.3180674507461897,0.02284083366394043,0.0027993231978274066,0.1,balanced,0.8,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.8}",0.4883720930232558,0.46511627906976744,0.5,0.7142857142857143,0.5476190476190477,0.543078626799557,0.08973202640641133,7
0.811033821105957,0.2982039179487277,0.020636749267578126,0.0002454313509960818,0.1,balanced,0.9,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.9}",0.4883720930232558,0.4883720930232558,0.4523809523809524,0.7380952380952381,0.5476190476190477,0.5429678848283499,0.1022386527729374,8
