mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06515135765075683,0.001990017782563025,0.022207021713256836,0.0042126672213343,0.1,,scale,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale'}",0.5116279069767442,0.5116279069767442,0.5,0.5,0.5,0.5046511627906977,0.005696487773914378,6
0.07477264404296875,0.00503713985809376,0.021278858184814453,0.003305535351406999,0.1,,0.01,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 0.01}",0.5116279069767442,0.5116279069767442,0.5,0.5,0.5,0.5046511627906977,0.005696487773914378,6
0.0726233959197998,0.00410127568419563,0.020500898361206055,0.002440752760591975,0.1,,0.1,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 0.1}",0.5116279069767442,0.5116279069767442,0.5,0.5,0.5,0.5046511627906977,0.005696487773914378,6
0.07243757247924805,0.001823104137804635,0.02057819366455078,0.00305291516888633,0.1,balanced,scale,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale'}",0.5116279069767442,0.5116279069767442,0.5,0.5,0.5,0.5046511627906977,0.005696487773914378,6
0.07803111076354981,0.006402215602912266,0.02097043991088867,0.002694051275539474,0.1,balanced,0.01,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 0.01}",0.5116279069767442,0.5116279069767442,0.5,0.5,0.5,0.5046511627906977,0.005696487773914378,6
0.07593326568603516,0.002917583348075621,0.0225039005279541,0.0019619154101923756,0.1,balanced,0.1,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 0.1}",0.5116279069767442,0.5116279069767442,0.5,0.5,0.5,0.5046511627906977,0.005696487773914378,6
0.07712755203247071,0.006938072535964937,0.022922992706298828,0.0026241505010075415,1.0,,scale,"{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale'}",0.4418604651162791,0.5116279069767442,0.5238095238095238,0.6666666666666666,0.6428571428571429,0.5573643410852713,0.08463440206386369,1
0.07943954467773437,0.005333019135100933,0.019361591339111327,0.001719459305120658,1.0,,0.01,"{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 0.01}",0.5581395348837209,0.5581395348837209,0.42857142857142855,0.6904761904761905,0.5476190476190477,0.5565891472868216,0.0829452189466475,3
0.07991137504577636,0.004731455721541693,0.020167970657348634,0.002282429134950798,1.0,,0.1,"{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 0.1}",0.4883720930232558,0.4883720930232558,0.42857142857142855,0.5,0.4523809523809524,0.4715393133997785,0.026795438212543397,16
0.06643328666687012,0.0073765381518774275,0.02021822929382324,0.003342176614984536,1.0,balanced,scale,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale'}",0.4418604651162791,0.5116279069767442,0.5238095238095238,0.6666666666666666,0.6428571428571429,0.5573643410852713,0.08463440206386369,1
0.0664097785949707,0.0040877311375371855,0.018740081787109376,0.00045831030751700515,1.0,balanced,0.01,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 0.01}",0.5581395348837209,0.5581395348837209,0.42857142857142855,0.6428571428571429,0.5238095238095238,0.5423034330011074,0.06912250909835932,4
0.07415671348571777,0.005708992014244298,0.022905254364013673,0.0022732518935192994,1.0,balanced,0.1,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 0.1}",0.4883720930232558,0.4883720930232558,0.42857142857142855,0.5,0.4523809523809524,0.4715393133997785,0.026795438212543397,16
0.07227435111999511,0.004120467622666474,0.023051977157592773,0.0038161902039453035,10.0,,scale,"{'clf__C': 10, 'clf__class_weight': None, 'clf__gamma': 'scale'}",0.46511627906976744,0.4418604651162791,0.47619047619047616,0.5238095238095238,0.5238095238095238,0.486157253599114,0.03267920327959785,14
0.07776799201965331,0.00866242655543397,0.02376241683959961,0.0034133143344677918,10.0,,0.01,"{'clf__C': 10, 'clf__class_weight': None, 'clf__gamma': 0.01}",0.5116279069767442,0.5348837209302325,0.40476190476190477,0.5476190476190477,0.47619047619047616,0.49501661129568103,0.051249728382633204,13
0.07458200454711914,0.005046568600887748,0.025037002563476563,0.0019923384241000183,10.0,,0.1,"{'clf__C': 10, 'clf__class_weight': None, 'clf__gamma': 0.1}",0.4883720930232558,0.4883720930232558,0.42857142857142855,0.5,0.4523809523809524,0.4715393133997785,0.026795438212543397,16
0.0728024959564209,0.004941175432726828,0.02233424186706543,0.005851919937909649,10.0,balanced,scale,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale'}",0.46511627906976744,0.46511627906976744,0.47619047619047616,0.5238095238095238,0.5,0.48604651162790696,0.0227773379972225,15
0.07491178512573242,0.0046649963567774975,0.0238065242767334,0.00450655806913651,10.0,balanced,0.01,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__gamma': 0.01}",0.5116279069767442,0.5581395348837209,0.38095238095238093,0.5714285714285714,0.5,0.5044296788482836,0.06736717283795443,12
0.07069025039672852,0.006265162635188826,0.01812014579772949,0.0004630725347369112,10.0,balanced,0.1,"{'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__gamma': 0.1}",0.5581395348837209,0.5813953488372093,0.47619047619047616,0.5476190476190477,0.5,0.5326688815060908,0.03873911809711934,5
