mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2102684497833252,0.0063167963055396036,0.047809791564941403,0.007188579597978858,,,sqrt,5,100,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__n_estimators': 100}",0.46511627906976744,0.5116279069767442,0.5476190476190477,0.5952380952380952,0.5714285714285714,0.5382059800664452,0.0458115857386803,217
0.414585018157959,0.016888894297989187,0.06697473526000977,0.003905152016023997,,,sqrt,5,200,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__n_estimators': 200}",0.4418604651162791,0.5116279069767442,0.5714285714285714,0.5476190476190477,0.5714285714285714,0.5287929125138427,0.04866602513212762,253
0.541023588180542,0.02202225460918077,0.08051424026489258,0.002415477980043609,,,sqrt,5,300,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}",0.4418604651162791,0.5116279069767442,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5335548172757475,0.05136517764807357,234
0.7620090484619141,0.04989167053108725,0.10390734672546387,0.0031056298869707446,,,sqrt,5,400,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__n_estimators': 400}",0.4418604651162791,0.5348837209302325,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5382059800664452,0.05020899797292374,217
0.8897029876708984,0.03096392967083362,0.12381343841552735,0.002948316009092683,,,sqrt,5,500,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__n_estimators': 500}",0.4418604651162791,0.5348837209302325,0.5714285714285714,0.5714285714285714,0.5952380952380952,0.5429678848283499,0.054111478055132764,186
0.2221813678741455,0.011698518310499497,0.046940279006958005,0.005336775873862141,,,sqrt,8,100,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__n_estimators': 100}",0.3953488372093023,0.5581395348837209,0.5238095238095238,0.6190476190476191,0.6428571428571429,0.5478405315614617,0.08721912792475496,130
0.36804933547973634,0.00518750841186418,0.06527409553527833,0.0040803121870914135,,,sqrt,8,200,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__n_estimators': 200}",0.4186046511627907,0.5116279069767442,0.5,0.6428571428571429,0.6428571428571429,0.5431893687707642,0.0874644266996792,161
0.5484892845153808,0.01773977844861721,0.08529095649719239,0.005381354725161665,,,sqrt,8,300,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__n_estimators': 300}",0.46511627906976744,0.5116279069767442,0.5238095238095238,0.6190476190476191,0.5952380952380952,0.5429678848283499,0.05644539021569475,186
0.6844954013824462,0.028060022608071927,0.09642400741577148,0.013736437714200734,,,sqrt,8,400,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__n_estimators': 400}",0.4418604651162791,0.5116279069767442,0.5238095238095238,0.6190476190476191,0.5952380952380952,0.5383167220376524,0.06322037900570589,208
0.875630521774292,0.04507035479493481,0.11027846336364747,0.012945687665499958,,,sqrt,8,500,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__n_estimators': 500}",0.4418604651162791,0.5116279069767442,0.5238095238095238,0.6190476190476191,0.6428571428571429,0.5478405315614618,0.07378241487914115,120
