mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04113650321960449,0.004794504879889565,0.020436477661132813,0.003580863367593724,0.0001,,"{'clf__C': 0.0001, 'clf__class_weight': None}",0.5116279069767442,0.4418604651162791,0.5714285714285714,0.6428571428571429,0.5952380952380952,0.5526024363233666,0.06965749215640657,1
0.0419156551361084,0.004357461915556126,0.018080425262451173,0.0014592351697922932,0.0001,balanced,"{'clf__C': 0.0001, 'clf__class_weight': 'balanced'}",0.5116279069767442,0.4418604651162791,0.5238095238095238,0.6190476190476191,0.6428571428571429,0.5478405315614618,0.07378241487914115,2
0.038460731506347656,0.0072133715458679555,0.021112346649169923,0.003470490136650994,0.001,,"{'clf__C': 0.001, 'clf__class_weight': None}",0.46511627906976744,0.46511627906976744,0.5476190476190477,0.6190476190476191,0.6190476190476191,0.5431893687707642,0.06887580851903026,3
0.03877997398376465,0.004919820737399195,0.017138862609863283,0.002511838925941654,0.001,balanced,"{'clf__C': 0.001, 'clf__class_weight': 'balanced'}",0.46511627906976744,0.46511627906976744,0.5476190476190477,0.6190476190476191,0.6190476190476191,0.5431893687707642,0.06887580851903026,3
0.04595022201538086,0.004584685247077192,0.017142438888549806,0.001294663698734181,0.01,,"{'clf__C': 0.01, 'clf__class_weight': None}",0.4883720930232558,0.4883720930232558,0.5238095238095238,0.5714285714285714,0.5476190476190477,0.5239202657807308,0.03269871190956471,5
0.05174188613891602,0.010656053124784926,0.020587444305419922,0.003675072832742241,0.01,balanced,"{'clf__C': 0.01, 'clf__class_weight': 'balanced'}",0.4883720930232558,0.4883720930232558,0.5,0.5714285714285714,0.5476190476190477,0.5191583610188261,0.034072912904983356,6
0.058569812774658205,0.006379321505704212,0.024451828002929686,0.0046010804389511285,0.1,,"{'clf__C': 0.1, 'clf__class_weight': None}",0.5116279069767442,0.5348837209302325,0.42857142857142855,0.5952380952380952,0.5,0.5140642303433001,0.053917353295127854,7
0.060492849349975585,0.011069711689315153,0.021259164810180663,0.003587101976299026,0.1,balanced,"{'clf__C': 0.1, 'clf__class_weight': 'balanced'}",0.5116279069767442,0.5348837209302325,0.42857142857142855,0.5714285714285714,0.5,0.5093023255813953,0.04716672032935894,8
0.08773579597473144,0.008215831109782558,0.023761272430419922,0.004153052496597165,1.0,,"{'clf__C': 1, 'clf__class_weight': None}",0.4418604651162791,0.5348837209302325,0.38095238095238093,0.5952380952380952,0.5714285714285714,0.5048726467331118,0.08102226517855357,9
0.07930235862731934,0.004469750406074347,0.01916818618774414,0.003343782403969483,1.0,balanced,"{'clf__C': 1, 'clf__class_weight': 'balanced'}",0.4418604651162791,0.5348837209302325,0.38095238095238093,0.5952380952380952,0.5476190476190477,0.5001107419712071,0.07759796680989196,10
0.1395789623260498,0.007951354476042553,0.01933426856994629,0.003338866836090373,10.0,,"{'clf__C': 10, 'clf__class_weight': None}",0.4186046511627907,0.46511627906976744,0.38095238095238093,0.6190476190476191,0.5714285714285714,0.49102990033222593,0.09042839750450178,11
0.1329960346221924,0.006563742889342436,0.016559743881225587,0.00027688105443835745,10.0,balanced,"{'clf__C': 10, 'clf__class_weight': 'balanced'}",0.4186046511627907,0.46511627906976744,0.38095238095238093,0.5714285714285714,0.5714285714285714,0.48150609080841633,0.07811321353765535,12
