,seed,p_train,test_acc,test_roc_auc,test_precision,test_recall,test_f1
0,1,0.5,0.47619047619047616,0.5,0.47619047619047616,1.0,0.6451612903225806
1,2,0.5,0.47619047619047616,0.5,0.47619047619047616,1.0,0.6451612903225806
2,5,0.5,0.47619047619047616,0.5,0.47619047619047616,1.0,0.6451612903225806
3,8,0.5,0.47619047619047616,0.5,0.47619047619047616,1.0,0.6451612903225806
4,9,0.5,0.47619047619047616,0.5,0.47619047619047616,1.0,0.6451612903225806
