model,best_cv_acc,test_acc,test_precision,test_recall,test_f1,test_roc_auc
knn,0.0030440967283072995,0.009090909090909038,0.036782106782106805,0.018181818181818132,0.021261057782796966,0.044628099173553704
logreg_elastic,-0.001081081081080959,0.0,0.0,0.0,0.0,2.220446049250313e-16
logreg_l2,0.003214793741109667,-0.018181818181818188,-0.0357142857142857,-0.054545454545454564,-0.05698245614035091,-0.013223140495867813
rfc,-0.009502133712660066,0.00909090909090915,0.00666666666666671,0.018181818181818188,0.01764705882352935,-0.006611570247933907
svc,0.002162162162162251,-0.009090909090909038,-0.0033333333333334103,0.03636363636363649,0.003890419043871718,-0.0049586776859504855
xgb,0.0019914651493597724,0.009090909090909038,0.02921245421245433,-0.018181818181818188,-0.0038956085866840295,0.05785123966942152
