mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.12629003524780275,0.033256122869208954,0.025522565841674803,0.010659489944947587,0.1,,scale,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale'}",0.5161290322580645,0.5268817204301075,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5216456287985041,0.0034022263485105632,48
0.14337406158447266,0.04319026529924827,0.018016290664672852,0.002168995604926035,0.1,,0.01,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 0.01}",0.5161290322580645,0.5268817204301075,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5216456287985041,0.0034022263485105632,48
0.1759939670562744,0.056768104555893525,0.023731708526611328,0.0068000259126341995,0.1,,0.1,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 0.1}",0.5161290322580645,0.5268817204301075,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5216456287985041,0.0034022263485105632,48
0.1521526336669922,0.09269318668538233,0.021120738983154298,0.004345991249387029,0.1,,0.5,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 0.5}",0.5161290322580645,0.5268817204301075,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5216456287985041,0.0034022263485105632,48
0.17165369987487794,0.06096953017956823,0.021407318115234376,0.0047112815453743,0.1,,1,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 1}",0.5161290322580645,0.5268817204301075,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5216456287985041,0.0034022263485105632,48
0.16304116249084472,0.040291363623325305,0.024063301086425782,0.0022143164028837646,0.1,balanced,scale,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale'}",0.4946236559139785,0.5053763440860215,0.4673913043478261,0.5,0.4891304347826087,0.491304347826087,0.013124121288417227,57
0.18808965682983397,0.05276768935853689,0.0301668643951416,0.01642622754325504,0.1,balanced,0.01,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 0.01}",0.4838709677419355,0.4731182795698925,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.478354371201496,0.003402226348510563,58
0.1541431427001953,0.040855248428048906,0.03605012893676758,0.011659806817502708,0.1,balanced,0.1,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 0.1}",0.4946236559139785,0.5053763440860215,0.4673913043478261,0.5108695652173914,0.4891304347826087,0.49347826086956526,0.01513120400498075,56
0.17057390213012696,0.04090906177673145,0.031679296493530275,0.014572539394055324,0.1,balanced,0.5,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 0.5}",0.4838709677419355,0.4731182795698925,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.478354371201496,0.003402226348510563,58
0.19923229217529298,0.02833336775070233,0.02518882751464844,0.0024277089590709023,0.1,balanced,1,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 1}",0.4838709677419355,0.4731182795698925,0.4782608695652174,0.4782608695652174,0.4782608695652174,0.478354371201496,0.003402226348510563,58
0.186635160446167,0.03541715440501545,0.02778315544128418,0.00954540778772313,0.5,,scale,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__gamma': 'scale'}",0.6666666666666666,0.5913978494623656,0.5760869565217391,0.5434782608695652,0.532608695652174,0.5820476858345021,0.04736062090652173,1
0.15709424018859863,0.011447853397024116,0.03077998161315918,0.01193272848057988,0.5,,0.01,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__gamma': 0.01}",0.5161290322580645,0.5268817204301075,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5216456287985041,0.0034022263485105632,48
0.16029014587402343,0.019931743268470612,0.027444076538085938,0.009902483304829634,0.5,,0.1,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__gamma': 0.1}",0.6559139784946236,0.5913978494623656,0.5543478260869565,0.532608695652174,0.532608695652174,0.5733754090696588,0.04652595525149099,8
0.1509110450744629,0.02839978742460884,0.03125319480895996,0.009472811406350153,0.5,,0.5,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__gamma': 0.5}",0.46236559139784944,0.5483870967741935,0.4891304347826087,0.5543478260869565,0.5108695652173914,0.5130201028518,0.034928571542849764,54
0.16219358444213866,0.0283838597488245,0.025329446792602538,0.0027878172762572095,0.5,,1,"{'clf__C': 0.5, 'clf__class_weight': None, 'clf__gamma': 1}",0.46236559139784944,0.4731182795698925,0.5,0.532608695652174,0.5217391304347826,0.4979663394109397,0.02703410272731535,55
0.20688557624816895,0.030723270905255676,0.03168635368347168,0.008323053915572556,0.5,balanced,scale,"{'clf__C': 0.5, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale'}",0.6236559139784946,0.5913978494623656,0.532608695652174,0.5543478260869565,0.5,0.5604020570359982,0.04340350840615635,29
0.19479403495788575,0.05745071099950488,0.03027510643005371,0.00594056611664777,0.5,balanced,0.01,"{'clf__C': 0.5, 'clf__class_weight': 'balanced', 'clf__gamma': 0.01}",0.5161290322580645,0.5376344086021505,0.5108695652173914,0.532608695652174,0.532608695652174,0.5259700794763909,0.01047922482488432,47
