mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.473787784576416,0.03872186682959833,0.35844883918762205,0.028478861993253883,,,sqrt,3,400,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__n_estimators': 400}",0.5698924731182796,0.5376344086021505,0.4891304347826087,0.6195652173913043,0.5543478260869565,0.55411407199626,0.04249074588087175,248
1.952467107772827,0.08886198569966057,0.3358758926391602,0.03287937776947339,,,sqrt,3,500,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__n_estimators': 500}",0.5913978494623656,0.5483870967741935,0.5,0.6195652173913043,0.5543478260869565,0.5627395979429639,0.040652477613460386,130
2.484988069534302,0.2413666047184385,0.41358284950256347,0.11573293419345324,,,sqrt,3,600,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__n_estimators': 600}",0.5913978494623656,0.5698924731182796,0.4891304347826087,0.6304347826086957,0.5543478260869565,0.5670406732117812,0.046586117082369885,78
3.7854976654052734,0.2360006561224643,0.3618579864501953,0.04801608216299893,,,sqrt,3,700,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__n_estimators': 700}",0.5698924731182796,0.5698924731182796,0.4782608695652174,0.6413043478260869,0.5543478260869565,0.562739597942964,0.05192653378370122,129
4.159113216400146,0.3345103387890932,0.5530861854553223,0.08556227238686308,,,sqrt,3,800,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__n_estimators': 800}",0.5806451612903226,0.5591397849462365,0.4782608695652174,0.6413043478260869,0.5652173913043478,0.5649135109864422,0.05220182620417627,102
2.5274484157562256,0.2343368634304062,0.36037640571594237,0.07779233765772646,,,sqrt,5,400,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__n_estimators': 400}",0.5483870967741935,0.5268817204301075,0.5434782608695652,0.6521739130434783,0.5108695652173914,0.5563581112669471,0.04969539400558329,196
2.6269818782806396,0.06535018615422103,0.22387313842773438,0.016335892621475917,,,sqrt,5,500,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__n_estimators': 500}",0.5806451612903226,0.5376344086021505,0.5434782608695652,0.6304347826086957,0.532608695652174,0.5649602618045815,0.03684489488744033,89
3.0705109596252442,0.3150381995926261,0.3083099365234375,0.035599544577026875,,,sqrt,5,600,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__n_estimators': 600}",0.5698924731182796,0.5591397849462365,0.5543478260869565,0.6195652173913043,0.5543478260869565,0.5714586255259466,0.02471440779130724,33
3.454356479644775,0.2972738787904362,0.39009909629821776,0.05449423265763677,,,sqrt,5,700,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__n_estimators': 700}",0.5913978494623656,0.5806451612903226,0.5434782608695652,0.6304347826086957,0.5217391304347826,0.5735390369331463,0.037930042539112044,30
3.7743678092956543,0.43669866252861733,0.4660964488983154,0.08200503560992675,,,sqrt,5,800,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__n_estimators': 800}",0.5591397849462365,0.5806451612903226,0.5108695652173914,0.6304347826086957,0.5217391304347826,0.5605656848994858,0.04304443058181531,154
2.3781193256378175,0.14596787642140743,0.24196982383728027,0.012708104813661324,,,sqrt,8,400,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__n_estimators': 400}",0.5591397849462365,0.5161290322580645,0.4782608695652174,0.6086956521739131,0.5652173913043478,0.5454885460495558,0.04461448970608803,375
2.443059778213501,0.1224961210753808,0.30382390022277833,0.020230365163186867,,,sqrt,8,500,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__n_estimators': 500}",0.5806451612903226,0.5268817204301075,0.4891304347826087,0.6086956521739131,0.5543478260869565,0.5519401589527816,0.041530583483810966,286
2.599036979675293,0.4018918835906965,0.32546277046203614,0.033770404501799633,,,sqrt,8,600,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__n_estimators': 600}",0.5591397849462365,0.5483870967741935,0.4891304347826087,0.6195652173913043,0.5652173913043478,0.5562879850397382,0.04162796123987514,215
3.4037700653076173,0.09942840622430525,0.44112482070922854,0.01650401632149077,,,sqrt,8,700,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__n_estimators': 700}",0.5591397849462365,0.5483870967741935,0.5,0.6086956521739131,0.5652173913043478,0.5562879850397382,0.03482870060341051,215
