mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__learning_rate,param_clf__max_depth,param_clf__reg_lambda,param_clf__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05628933906555176,0.011993379808037694,0.010867118835449219,0.0020290281163240216,0.8,0.03,0,0.001,0.1,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.001, 'clf__subsample': 0.1}",0.4838709677419355,0.5268817204301075,0.4891304347826087,0.5543478260869565,0.4891304347826087,0.5086722767648435,0.027556167185739933,2253
0.06465039253234864,0.016404585799452694,0.015670061111450195,0.0006080327092390705,0.8,0.03,0,0.001,0.2,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.001, 'clf__subsample': 0.2}",0.5806451612903226,0.5591397849462365,0.5543478260869565,0.5434782608695652,0.5217391304347826,0.5518700327255727,0.019314708845591597,564
0.07807626724243164,0.03281175359474394,0.015616798400878906,0.0029910964794533108,0.8,0.03,0,0.001,0.3,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.001, 'clf__subsample': 0.3}",0.5483870967741935,0.5161290322580645,0.5217391304347826,0.532608695652174,0.5108695652173914,0.5259467040673211,0.013336894902809038,1679
0.12946739196777343,0.023186974158546314,0.02200169563293457,0.00844484790341031,0.8,0.03,0,0.001,0.6,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.001, 'clf__subsample': 0.6}",0.6236559139784946,0.4838709677419355,0.5760869565217391,0.5217391304347826,0.5543478260869565,0.5519401589527817,0.04749217015133548,540
0.17776694297790527,0.028835890864514494,0.0179776668548584,0.004938249213965515,0.8,0.03,0,0.001,1.0,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.001, 'clf__subsample': 1.0}",0.5698924731182796,0.4946236559139785,0.5869565217391305,0.5217391304347826,0.6304347826086957,0.5607293127629733,0.04800182227835022,241
0.08442959785461426,0.018986612483367526,0.015828037261962892,0.002734785133681983,0.8,0.03,0,0.01,0.1,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.01, 'clf__subsample': 0.1}",0.4838709677419355,0.5268817204301075,0.5108695652173914,0.5434782608695652,0.4891304347826087,0.5108461898083216,0.022455411251391735,2193
0.07663278579711914,0.018169224901084573,0.019407129287719725,0.0024218882862564696,0.8,0.03,0,0.01,0.2,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.01, 'clf__subsample': 0.2}",0.5698924731182796,0.5376344086021505,0.532608695652174,0.5434782608695652,0.5217391304347826,0.5410705937353903,0.016084863399943364,1039
0.08525123596191406,0.024553005268163303,0.016814041137695312,0.0026779596508474247,0.8,0.03,0,0.01,0.3,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.01, 'clf__subsample': 0.3}",0.5483870967741935,0.5268817204301075,0.532608695652174,0.532608695652174,0.5108695652173914,0.530271154745208,0.01205840364031083,1493
0.13561029434204103,0.03402099248909368,0.01812753677368164,0.0013523003496450272,0.8,0.03,0,0.01,0.6,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.01, 'clf__subsample': 0.6}",0.6021505376344086,0.46236559139784944,0.5869565217391305,0.5217391304347826,0.5543478260869565,0.5455119214586255,0.04996422468318366,783
0.1782137393951416,0.09832938040919191,0.02280716896057129,0.01831151313790246,0.8,0.03,0,0.01,1.0,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.01, 'clf__subsample': 1.0}",0.6129032258064516,0.4946236559139785,0.5869565217391305,0.5217391304347826,0.6413043478260869,0.571505376344086,0.05515776359184831,74
0.12577948570251465,0.05728674954794583,0.02186431884765625,0.009950617331735452,0.8,0.03,0,0.1,0.1,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.1, 'clf__subsample': 0.1}",0.4946236559139785,0.5161290322580645,0.44565217391304346,0.5217391304347826,0.4891304347826087,0.4934548854604956,0.026904577960230144,2459
0.06837549209594726,0.018015145273622947,0.01608877182006836,0.0028549232922830707,0.8,0.03,0,0.1,0.2,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.1, 'clf__subsample': 0.2}",0.5698924731182796,0.5161290322580645,0.532608695652174,0.532608695652174,0.5217391304347826,0.5345956054230949,0.018762024216760074,1307
0.12550778388977052,0.041690805862633996,0.03385767936706543,0.028201186035850298,0.8,0.03,0,0.1,0.3,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 0, 'clf__reg_lambda': 0.1, 'clf__subsample': 0.3}",0.5268817204301075,0.4946236559139785,0.5217391304347826,0.5652173913043478,0.45652173913043476,0.5129967274427302,0.03611984063297497,2143
