mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.059954261779785155,0.026395461633045337,0.024666261672973634,0.016693785264036164,0.0001,,"{'clf__C': 0.0001, 'clf__class_weight': None}",0.5161290322580645,0.5268817204301075,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5216456287985041,0.0034022263485105632,11
0.07920384407043457,0.04097288138636817,0.021340656280517577,0.005935473241573798,0.0001,balanced,"{'clf__C': 0.0001, 'clf__class_weight': 'balanced'}",0.5591397849462365,0.5591397849462365,0.4891304347826087,0.5543478260869565,0.45652173913043476,0.5236559139784946,0.04280002292714266,10
0.03988661766052246,0.00983894389074338,0.018032073974609375,0.004948675108329219,0.001,,"{'clf__C': 0.001, 'clf__class_weight': None}",0.5161290322580645,0.5268817204301075,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5216456287985041,0.0034022263485105632,11
0.07132234573364257,0.04865770780552295,0.028891468048095705,0.01611436929266893,0.001,balanced,"{'clf__C': 0.001, 'clf__class_weight': 'balanced'}",0.6021505376344086,0.5806451612903226,0.4891304347826087,0.5652173913043478,0.45652173913043476,0.5387330528284244,0.056033815176721236,6
0.025954341888427733,0.0018419381981007227,0.014594507217407227,0.0013010703089316395,0.01,,"{'clf__C': 0.01, 'clf__class_weight': None}",0.5376344086021505,0.5376344086021505,0.5217391304347826,0.5652173913043478,0.4782608695652174,0.5280972417017298,0.028579398797404853,8
0.03299098014831543,0.01220591681709326,0.0309145450592041,0.02899459338682672,0.01,balanced,"{'clf__C': 0.01, 'clf__class_weight': 'balanced'}",0.5913978494623656,0.5698924731182796,0.5108695652173914,0.5652173913043478,0.4673913043478261,0.5409537166900421,0.04535917269966279,4
0.035764455795288086,0.006070740432669248,0.01864280700683594,0.005253957445712319,0.1,,"{'clf__C': 0.1, 'clf__class_weight': None}",0.5483870967741935,0.5806451612903226,0.4891304347826087,0.5869565217391305,0.45652173913043476,0.5323281907433379,0.0513601730513324,7
0.049190521240234375,0.036306136882043434,0.021502923965454102,0.007277133923566815,0.1,balanced,"{'clf__C': 0.1, 'clf__class_weight': 'balanced'}",0.5806451612903226,0.6021505376344086,0.5,0.6086956521739131,0.45652173913043476,0.5496026180458158,0.060566293865977436,2
0.050739479064941403,0.036751436595481836,0.027334928512573242,0.028402733121450505,1.0,,"{'clf__C': 1, 'clf__class_weight': None}",0.5483870967741935,0.5483870967741935,0.5108695652173914,0.5652173913043478,0.4673913043478261,0.5280504908835905,0.035166048066605456,9
0.061833429336547854,0.05583692141708024,0.013922023773193359,0.0028205949977265885,1.0,balanced,"{'clf__C': 1, 'clf__class_weight': 'balanced'}",0.5376344086021505,0.5806451612903226,0.5217391304347826,0.5978260869565217,0.45652173913043476,0.5388733052828425,0.04959276899274299,5
0.04652261734008789,0.01242459085640132,0.016323280334472657,0.004871061111128646,10.0,,"{'clf__C': 10, 'clf__class_weight': None}",0.5913978494623656,0.5483870967741935,0.5108695652173914,0.5869565217391305,0.4891304347826087,0.5453482935951379,0.04052226777865324,3
0.0815155029296875,0.04001102776173082,0.01741948127746582,0.004734038726924182,10.0,balanced,"{'clf__C': 10, 'clf__class_weight': 'balanced'}",0.5913978494623656,0.5698924731182796,0.5217391304347826,0.5760869565217391,0.5,0.5518232819074333,0.0348484624953516,1
